id,Red Distance,Green Distance,Blue Distance,Score
1.0,948.06,1585.72,47.95,1.0
1.0,1039.44,1625.52,121.33,0.93
1.0,1033.75,1556.74,251.1,0.87
1.0,1047.28,1497.2,389.47,0.8
1.0,1076.79,1450.46,522.57,0.73
1.0,1122.87,1414.57,658.81,0.67
1.0,1184.82,1391.05,798.55,0.6
1.0,1259.61,1382.54,937.35,0.53
1.0,1344.5,1388.32,1075.5,0.47
1.0,1438.05,1407.84,1214.17,0.4
1.0,1536.67,1441.82,1348.1,0.33
1.0,1548.59,1378.31,1445.31,0.27
1.0,1455.76,1242.75,1440.81,0.2
1.0,1378.5,1120.47,1448.93,0.13
1.0,1303.06,988.08,1470.7,0.07
2.0,860.62,1317.98,26.97,1.0
2.0,733.29,1221.06,109.27,0.93
2.0,701.87,1080.74,228.06,0.87
2.0,701.73,941.92,360.56,0.8
3.0,379.05,517.11,59.94,1.0
3.0,511.83,525.55,101.01,0.93
3.0,649.55,574.53,234.09,0.87
3.0,756.43,529.14,352.0,0.8
3.0,873.37,517.96,483.05,0.73
3.0,990.28,541.74,612.04,0.67
3.0,1115.73,598.54,747.86,0.6
3.0,1242.57,680.09,882.55,0.53
3.0,1301.14,681.1,965.74,0.47
3.0,1252.25,590.24,949.49,0.4
3.0,1217.82,522.19,953.26,0.33
3.0,1197.55,483.57,976.8,0.27
3.0,1194.38,485.44,1021.57,0.2
3.0,1208.3,525.45,1080.17,0.13
3.0,1238.08,595.91,1153.51,0.07
4.0,199.4,802.56,192.0,1.0
4.0,202.61,806.31,188.16,0.93
4.0,202.61,806.31,188.16,0.87
4.0,200.76,804.48,189.58,0.8
4.0,198.94,802.66,191.0,0.73
4.0,196.98,800.7,192.55,0.67
4.0,195.19,798.92,193.95,0.6
4.0,193.3,797.03,195.45,0.53
4.0,191.03,794.76,197.26,0.47
4.0,189.66,793.39,198.36,0.4
4.0,186.38,790.1,201.02,0.33
4.0,185.87,789.6,201.43,0.27
4.0,182.72,786.44,204.01,0.2
4.0,182.22,785.94,204.42,0.13
4.0,178.51,782.23,207.46,0.07
5.0,295.46,1173.09,54.97,1.0
5.0,191.72,1148.59,155.58,0.93
5.0,51.31,1034.63,244.81,0.87
5.0,86.18,932.51,366.2,0.8
5.0,200.06,799.59,424.37,0.73
5.0,329.58,702.62,565.09,0.67
5.0,461.13,628.22,702.17,0.6
5.0,575.48,492.26,789.86,0.53
5.0,701.6,354.04,892.64,0.47
5.0,832.8,220.0,1004.55,0.4
5.0,958.8,113.99,1115.57,0.33
5.0,1083.53,112.02,1227.28,0.27
5.0,1080.38,110.23,1224.47,0.2
