id,Red Distance,Green Distance,Blue Distance,Score
1.0,128.18,98.63,1403.5,1.0
1.0,203.57,209.76,1262.27,0.93
1.0,320.47,337.88,1127.3,0.87
1.0,449.87,472.05,990.44,0.8
1.0,587.57,612.57,848.63,0.73
2.0,642.48,171.88,988.53,1.0
2.0,642.16,173.69,986.76,0.93
2.0,641.58,176.82,983.73,0.87
2.0,634.4,227.51,934.83,0.8
2.0,635.68,365.8,803.78,0.73
2.0,663.56,505.49,676.45,0.67
3.0,634.11,121.54,387.71,1.0
3.0,634.11,121.54,387.71,0.93
3.0,637.29,125.24,384.03,0.87
3.0,637.29,125.24,384.03,0.8
3.0,638.86,127.07,382.23,0.73
3.0,640.44,128.91,380.41,0.67
3.0,642.07,130.78,378.56,0.6
3.0,644.83,134.0,375.39,0.53
3.0,645.25,134.48,374.91,0.47
3.0,647.34,136.9,372.54,0.4
3.0,648.52,138.25,371.21,0.33
3.0,651.43,141.6,367.93,0.27
3.0,651.89,142.12,367.43,0.2
3.0,674.2,167.58,342.76,0.13
3.0,677.56,171.41,339.09,0.07
4.0,785.73,94.78,1393.84,1.0
4.0,707.21,109.31,1265.39,0.93
4.0,641.43,231.26,1124.83,0.87
4.0,603.47,363.65,988.08,0.8
4.0,593.53,501.5,848.63,0.73
5.0,464.24,34.07,1028.59,1.0
5.0,374.35,102.37,900.57,0.93
5.0,236.0,224.34,857.51,0.87
5.0,98.31,359.31,835.51,0.8
5.0,50.75,498.13,837.33,0.73
5.0,185.66,635.93,862.47,0.67
5.0,322.67,772.82,906.3,0.6
5.0,418.29,858.47,1038.32,0.53
5.0,533.74,957.36,1172.94,0.47
5.0,664.88,1071.49,1314.3,0.4
5.0,791.99,1182.53,1451.32,0.33
5.0,840.37,1256.2,1423.25,0.27
5.0,906.89,1339.47,1407.04,0.2
5.0,989.3,1431.92,1405.14,0.13
5.0,1079.08,1526.77,1417.45,0.07
6.0,221.62,71.77,963.03,1.0
6.0,320.71,162.77,847.41,0.93
6.0,459.53,298.51,848.63,0.87
7.0,514.27,140.3,1194.28,1.0
7.0,512.6,142.26,1192.26,0.93
7.0,486.4,173.44,1160.31,0.87
7.0,455.49,212.04,1121.14,0.8
7.0,362.22,344.56,987.79,0.73
7.0,297.58,483.63,848.63,0.67
8.0,960.03,177.67,1033.16,1.0
8.0,960.03,177.67,1033.16,0.93
8.0,944.39,224.02,986.87,0.87
8.0,908.98,362.73,848.65,0.8
9.0,880.88,57.11,207.38,1.0
9.0,756.38,160.57,209.91,0.93
9.0,679.45,290.91,345.61,0.87
9.0,627.51,425.81,482.44,0.8
9.0,603.19,566.5,623.91,0.73
9.0,610.53,699.74,757.53,0.67
9.0,646.74,840.04,897.66,0.6
9.0,706.62,981.12,1038.01,0.53
9.0,842.24,1071.71,1143.21,0.47
9.0,975.55,1169.75,1252.68,0.4
9.0,1113.8,1278.26,1370.69,0.33
9.0,1256.07,1396.2,1496.42,0.27
9.0,1358.95,1421.84,1534.2,0.2
9.0,1370.53,1345.99,1468.58,0.13
9.0,1396.21,1279.32,1412.39,0.07
10.0,314.15,173.16,795.56,1.0
10.0,310.13,177.23,792.43,0.93
10.0,262.91,226.11,758.8,0.87
10.0,173.94,331.94,619.24,0.8
10.0,174.99,458.43,478.93,0.73
10.0,265.79,592.35,339.35,0.67
10.0,387.48,726.97,205.14,0.6
11.0,448.02,89.27,871.79,1.0
11.0,572.85,177.28,745.9,0.93
11.0,705.58,308.28,621.99,0.87
11.0,833.49,438.05,513.85,0.8
11.0,958.86,565.89,418.78,0.73
11.0,1077.84,680.87,461.64,0.67
11.0,1205.32,807.82,538.0,0.6
11.0,1247.26,853.7,671.43,0.53
11.0,1306.09,922.11,814.19,0.47
11.0,1377.13,1005.78,954.42,0.4
11.0,1458.88,1101.63,1094.91,0.33
11.0,1546.03,1202.75,1230.86,0.27
11.0,1639.89,1309.38,1362.72,0.2
11.0,1641.22,1331.6,1457.31,0.13
11.0,1617.72,1312.23,1456.5,0.07
12.0,621.85,99.77,798.54,1.0
